Geneid,A10A,A12A,A12B,CM15,CM30,CM39,CM54,CM71,CM75,CM8,M10,M102,M108,M20,M29,M46,M49,M692,M7,M8,M94
ENSG00000130813,11,7,12,4,2,13,401,12,11,872,359,9,3,5,2,5,7,13,8,23,6
ENSG00000130816,11,6,9,6,11,9,14,8,4,17,35,18,12,6,14,8,36,24,7,10,17
ENSG00000130818,0,1,0,1,2,1,1,2,1,1,0,5,1,1,0,1,1,2,0,0,0
ENSG00000130821,5,4,9,13,18,3,10,11,10,17,25,13,6,8,7,12,8,37,10,6,12
ENSG00000130822,73,48,45,45,123,15,64,63,45,97,9,78,17,39,5,18,44,181,75,46,63
ENSG00000130826,2,0,1,2,3,1,3,13,2,9,2,8,3,13,0,7,4,7,5,2,6
ENSG00000130827,5,5,7,3,8,4,2,6,8,5,10,17,5,2,4,1,16,16,8,2,7
ENSG00000130829,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ENSG00000130830,0,0,2,0,1,1,1,1,0,3,6,6,1,0,0,0,0,5,0,1,1
ENSG00000130844,0,1,2,2,1,1,3,2,2,1,1,8,3,1,0,0,2,1,0,1,21
ENSG00000130856,1,2,9,2,4,1,6,3,5,0,4,10,2,5,1,0,4,6,3,0,8
ENSG00000130876,93,279,62,72,26,21,30,53,35,23,8,69,6,19,9,16,19,99,23,24,108
ENSG00000130881,25,36,12,64,9,8,26,19,5,11,32,9,2,8,1,1,2,42,18,7,21
ENSG00000130921,49,36,135,138,117,99,208,186,141,196,142,110,103,191,29,62,262,157,221,150,119
ENSG00000130935,0,0,0,0,2,0,0,0,0,1,3,5,0,0,0,0,0,0,0,1,0
ENSG00000130939,1,1,6,0,1,0,2,2,0,0,4,5,0,3,1,1,2,1,0,1,12
ENSG00000130940,40,40,3,10,7,4,15,0,5,31,5,17,10,7,1,7,4,10,1,1,1
ENSG00000130943,8,57,171,40,50,9,56,28,16,35,33,38,18,80,5,27,78,83,29,39,38
ENSG00000130948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130950,5,6,24,14,5,11,28,7,11,30,20,20,16,17,18,14,17,37,11,12,18
ENSG00000130956,25,8,6,14,14,5,14,14,14,11,13,4,10,19,7,18,13,18,11,8,8
ENSG00000130957,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ENSG00000130958,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,2,0,0,0
ENSG00000130962,0,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0
ENSG00000130985,3,8,4,2,2,0,1,3,6,2,0,10,1,1,2,4,7,5,6,0,7
ENSG00000130988,1,1,0,0,0,1,1,2,0,6,5,2,0,2,0,3,2,1,1,2,3
ENSG00000130997,7,2,2,3,4,0,1,4,2,0,0,22,1,1,0,1,1,12,0,3,1
ENSG00000131002,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
ENSG00000131007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131013,1,2,0,1,0,0,0,0,0,1,1,3,1,2,0,1,0,2,0,2,2
ENSG00000131015,4,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,1
ENSG00000131016,51,27,39,19,8,28,34,20,29,28,7,40,22,57,28,136,25,23,66,29,144
ENSG00000131018,11,20,23,11,6,5,19,24,11,6,12,57,10,15,1,12,6,10,9,6,128
ENSG00000131019,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
ENSG00000131023,0,5,2,2,2,0,2,7,2,2,0,9,0,0,1,2,2,1,0,1,3
ENSG00000131037,11,21,9,4,0,0,10,8,4,9,9,9,14,7,2,4,5,11,3,1,4
